Crimson glory,be0032,190,0,50,344.2,100%,37.30%
Cyan,00ffff,0,255,255,180,100%,50%
Daffodil,ffff31,255,255,49,60,100%,59.60%
Dandelion,f0e130,240,225,48,55.3,86.50%,56.50%
Dark blue,00008b,0,0,139,240,100%,27.30%
Dark brown,654321,101,67,33,30,50.70%,26.30%
Dark byzantium,5d3954,93,57,84,315,24%,29.40%
Dark candy apple red,a40000,164,0,0,0,100%,32.20%
Dark cerulean,08457e,8,69,126,209,88.10%,26.30%
Dark chestnut,986960,152,105,96,9.6,22.60%,48.60%
Dark coral,cd5b45,205,91,69,9.7,57.60%,53.70%
Dark cyan,008b8b,0,139,139,180,100%,27.30%
Dark electric blue,536878,83,104,120,205.9,18.20%,39.80%
Dark goldenrod,b8860b,184,134,11,42.7,88.70%,38.20%
Dark gray,a9a9a9,169,169,169,0,0%,66.30%
Dark green,13220,1,50,32,158,96.10%,10%
Dark jungle green,1a2421,26,36,33,162,16.10%,12.20%
Dark khaki,bdb76b,189,183,107,55.6,38.30%,58%
Dark lava,483c32,72,60,50,27.3,18%,23.90%
Dark lavender,734f96,115,79,150,270.4,31%,44.90%
Dark magenta,8b008b,139,0,139,300,100%,27.30%
Dark midnight blue,003366,0,51,102,210,100%,20%
Dark olive green,556b2f,85,107,47,82,39%,30.20%
Dark orange,ff8c00,255,140,0,32.9,100%,50%
Dark orchid,9932cc,153,50,204,280.1,60.60%,49.80%
Dark pastel blue,779ecb,119,158,203,212.1,44.70%,63.10%
Dark pastel green,03c03c,3,192,60,138.1,96.90%,38.20%
Dark pastel purple,966fd6,150,111,214,262.7,55.70%,63.70%
Dark pastel red,c23b22,194,59,34,9.4,70.20%,44.70%
Dark pink,e75480,231,84,128,342,75.40%,61.80%
Dark powder blue,003399,0,51,153,220,100%,30%
Dark raspberry,872657,135,38,87,329.7,56.10%,33.90%
Dark red,8b0000,139,0,0,0,100%,27.30%
Dark salmon,e9967a,233,150,122,15.1,71.60%,69.60%
Dark scarlet,560319,86,3,25,344.1,93.30%,17.50%
Dark sea green,8fbc8f,143,188,143,120,25.10%,64.90%
Dark sienna,3c1414,60,20,20,0,50%,15.70%
Dark slate blue,483d8b,72,61,139,248.5,39%,39.20%
Dark slate gray,2f4f4f,47,79,79,180,25.40%,24.70%
Dark spring green,177245,23,114,69,150.3,66.40%,26.90%
Dark tan,918151,145,129,81,45,28.30%,44.30%
Dark tangerine,ffa812,255,168,18,38,100%,53.50%
Dark taupe,483c32,72,60,50,27.3,18%,23.90%
Dark terra cotta,cc4e5c,204,78,92,353.3,55.30%,55.30%
Dark turquoise,00ced1,0,206,209,180.9,100%,41%
Dark violet,9400d3,148,0,211,282.1,100%,41.40%
Dartmouth green,00693e,0,105,62,155.4,100%,20.60%
Davy grey,555555,85,85,85,0,0%,33.30%
Debian red,d70a53,215,10,83,338.6,91.10%,44.10%
Deep carmine,a9203e,169,32,62,346.9,68.20%,39.40%
Deep carmine pink,ef3038,239,48,56,357.5,85.70%,56.30%
Deep carrot orange,e9692c,233,105,44,19.4,81.10%,54.30%
Deep cerise,da3287,218,50,135,329.6,69.40%,52.50%
Deep champagne,fad6a5,250,214,165,34.6,89.50%,81.40%
Deep chestnut,b94e48,185,78,72,3.2,44.70%,50.40%
Deep coffee,704241,112,66,65,1.3,26.60%,34.70%
Deep fuchsia,c154c1,193,84,193,300,46.80%,54.30%
Deep jungle green,004b49,0,75,73,178.4,100%,14.70%
Deep lilac,9955bb,153,85,187,280,42.90%,53.30%
Deep magenta,cc00cc,204,0,204,300,100%,40%
Deep peach,ffcba4,255,203,164,25.7,100%,82.20%
Deep pink,ff1493,255,20,147,327.6,100%,53.90%
Deep saffron,ff9933,255,153,51,30,100%,60%
Deep sky blue,00bfff,0,191,255,195.1,100%,50%
Denim,1560bd,21,96,189,213.2,80%,41.20%
Desert,c19a6b,193,154,107,32.8,41%,58.80%
Desert sand,edc9af,237,201,175,25.2,63.30%,80.80%
Dim gray,696969,105,105,105,0,0%,41.20%
Dodger blue,1e90ff,30,144,255,209.6,100%,55.90%
Dogwood rose,d71868,215,24,104,334.9,79.90%,46.90%
Dollar bill,85bb65,133,187,101,97.7,38.70%,56.50%
Drab,967117,150,113,23,42.5,73.40%,33.90%
Duke blue,00009c,0,0,156,240,100%,30.60%
Earth yellow,e1a95f,225,169,95,34.2,68.40%,62.70%
Ecru,c2b280,194,178,128,45.5,35.10%,63.10%
Eggplant,614051,97,64,81,329.1,20.50%,31.60%
Eggshell,f0ead6,240,234,214,46.2,46.40%,89%
Egyptian blue,1034a6,16,52,166,225.6,82.40%,35.70%
Electric blue,7df9ff,125,249,255,182.8,100%,74.50%
Electric crimson,ff003f,255,0,63,345.2,100%,50%
